WKT,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,AREA,PERIMETER,DEPTO14_ID,PROV,DEPTO
"POLYGON ((-64.082075 -29.529992 0,-63.981411 -29.550848 0,-63.962315 -29.62358 0,-63.873851 -29.630733 0,-63.841064 -29.579389 0,-63.811484 -29.578978 0,-63.783639 -29.583892 0,-63.795937 -29.614869 0,-63.748045 -29.634716 0,-63.748484 -29.652124 0,-63.77921 -29.639345 0,-63.791468 -29.662501 0,-63.792224 -29.70425 0,-63.765368 -29.706078 0,-63.791335 -29.795028 0,-63.806024 -29.793955 0,-63.834954 -29.876897 0,-63.885728 -29.908737 0,-63.885978 -29.952962 0,-63.944549 -30.027272 0,-63.93637 -30.064182 0,-63.950307 -30.083232 0,-64.173645 -30.063036 0,-64.210689 -29.978071 0,-64.410106 -29.930095 0,-64.405181 -29.827615 0,-64.49218 -29.82076 0,-64.489376 -29.527185 0,-64.274608 -29.498756 0,-64.082075 -29.529992 0))",SOBREMONTE,AREA: 3239596263.18098<br>PERIMETER: 262996.75810<br>DEPTO14_ID: 1<br>PROV: 14<br>DEPTO: 154,,,,,-1,-1,-1,,,3239596263.18098,262996.75810,1,14,154
"POLYGON ((-64.489376 -29.527185 0,-64.49218 -29.82076 0,-64.405181 -29.827615 0,-64.410106 -29.930095 0,-64.210689 -29.978071 0,-64.173645 -30.063036 0,-63.953675 -30.077008 0,-63.967276 -30.128276 0,-63.927907 -30.134465 0,-63.890292 -30.106285 0,-63.858591 -30.12477 0,-63.493704 -30.188682 0,-63.492529 -30.272179 0,-63.380968 -30.270413 0,-63.380905 -30.321469 0,-63.34848 -30.323659 0,-63.325437 -30.230403 0,-62.526984 -30.378497 0,-62.538084 -30.42228 0,-62.32366 -30.455222 0,-62.328509 -30.577151 0,-62.428588 -30.554489 0,-62.444728 -30.568582 0,-62.514314 -30.564141 0,-62.55396 -30.548038 0,-62.556539 -30.52585 0,-62.629177 -30.532577 0,-62.651423 -30.511651 0,-62.704314 -30.548807 0,-62.679787 -30.567233 0,-62.685271 -30.592664 0,-62.884612 -30.635283 0,-62.876661 -30.662021 0,-62.912341 -30.658733 0,-62.914432 -30.639805 0,-62.951639 -30.674808 0,-62.937315 -30.683516 0,-62.985848 -30.677344 0,-63.025444 -30.696783 0,-63.213639 -30.662078 0,-63.20751 -30.639009 0,-63.365042 -30.609435 0,-63.35698 -30.575861 0,-63.60433 -30.526146 0,-63.615454 -30.571916 0,-63.795702 -30.569191 0,-63.802384 -30.51026 0,-63.845505 -30.510824 0,-63.847102 -30.416595 0,-63.963569 -30.414911 0,-64.005592 -30.483223 0,-64.083312 -30.465693 0,-64.298264 -30.463715 0,-64.283718 -30.388761 0,-64.374801 -30.37859 0,-64.386299 -30.340263 0,-64.356526 -30.197403 0,-64.28324 -30.201891 0,-64.269874 -30.116013 0,-64.298706 -30.114072 0,-64.296149 -30.086319 0,-64.989395 -30.01506 0,-64.987499 -29.963467 0,-64.897826 -29.886857 0,-64.949819 -29.589515 0,-64.489376 -29.527185 0))",TULUMBA,AREA: 9705859148.46698<br>PERIMETER: 808366.85845<br>DEPTO14_ID: 2<br>PROV: 14<br>DEPTO: 175,,,,,-1,-1,-1,,,9705859148.46698,808366.85845,2,14,175
"POLYGON ((-63.748484 -29.652124 0,-63.720699 -29.666261 0,-63.637656 -29.655271 0,-63.465356 -29.664338 0,-63.479897 -29.725209 0,-63.459856 -29.725103 0,-63.459774 -29.756463 0,-62.80744 -29.833816 0,-62.830029 -29.841595 0,-62.839196 -29.864781 0,-62.819958 -29.903666 0,-62.78811 -29.897353 0,-62.746498 -29.918547 0,-62.696706 -29.992302 0,-62.655159 -30.007607 0,-62.675654 -30.035218 0,-62.665107 -30.048249 0,-62.554486 -30.060785 0,-62.566779 -30.121653 0,-62.595713 -30.166542 0,-62.528203 -30.218825 0,-62.501288 -30.287159 0,-62.146965 -30.281448 0,-62.132419 -30.34938 0,-62.320204 -30.318706 0,-62.32366 -30.455222 0,-62.538084 -30.42228 0,-62.526984 -30.378497 0,-63.325437 -30.230403 0,-63.34848 -30.323659 0,-63.380905 -30.321469 0,-63.380968 -30.270413 0,-63.492529 -30.272179 0,-63.493704 -30.188682 0,-63.858591 -30.12477 0,-63.890292 -30.106285 0,-63.927907 -30.134465 0,-63.967276 -30.128276 0,-63.93637 -30.064182 0,-63.944549 -30.027272 0,-63.885978 -29.952962 0,-63.885728 -29.908737 0,-63.834954 -29.876897 0,-63.806024 -29.793955 0,-63.791335 -29.795028 0,-63.765368 -29.706078 0,-63.792224 -29.70425 0,-63.791468 -29.662501 0,-63.77921 -29.639345 0,-63.748484 -29.652124 0))",RIO SECO,AREA: 6966118108.72363<br>PERIMETER: 539805.66276<br>DEPTO14_ID: 3<br>PROV: 14<br>DEPTO: 112,,,,,-1,-1,-1,,,6966118108.72363,539805.66276,3,14,112
"POLYGON ((-64.989395 -30.01506 0,-65.001871 -30.418516 0,-65.065265 -30.418669 0,-65.059239 -30.430188 0,-65.033472 -30.475059 0,-64.87529 -30.634227 0,-64.714851 -30.634132 0,-64.714701 -30.689944 0,-64.6243 -30.690113 0,-64.619745 -30.771219 0,-64.670992 -30.828783 0,-64.644693 -30.856235 0,-64.648173 -30.922249 0,-64.674526 -30.92191 0,-64.674555 -30.943649 0,-64.699863 -30.949416 0,-64.676111 -30.971892 0,-64.687378 -31.017817 0,-64.647978 -31.010402 0,-64.642722 -31.045223 0,-64.677418 -31.071487 0,-64.677519 -31.137265 0,-64.70407 -31.178787 0,-64.696258 -31.223967 0,-64.711166 -31.261876 0,-64.700515 -31.277615 0,-64.732432 -31.314747 0,-64.763534 -31.42473 0,-64.831604 -31.409041 0,-64.922918 -31.41184 0,-64.911019 -31.282302 0,-64.928972 -31.274272 0,-64.882731 -31.27694 0,-64.894753 -31.235566 0,-64.940247 -31.16704 0,-65.018898 -31.105692 0,-65.068391 -31.070214 0,-65.102976 -31.077508 0,-65.119488 -31.021174 0,-65.109405 -31.002106 0,-65.152332 -30.946821 0,-65.158122 -30.874281 0,-65.335021 -30.882484 0,-65.348174 -30.84625 0,-65.347008 -30.737846 0,-65.373476 -30.693184 0,-65.599004 -30.656808 0,-65.519212 -30.47638 0,-65.398285 -30.125111 0,-65.119323 -30.075751 0,-64.987499 -29.963467 0,-64.989395 -30.01506 0))",CRUZ DEL EJE,AREA: 6612648505.64471<br>PERIMETER: 513775.13728<br>DEPTO14_ID: 4<br>PROV: 14<br>DEPTO: 028,,,,,-1,-1,-1,,,6612648505.64471,513775.13728,4,14,028
"POLYGON ((-64.661334 -30.049569 0,-64.296149 -30.086319 0,-64.298706 -30.114072 0,-64.269874 -30.116013 0,-64.28324 -30.201891 0,-64.356526 -30.197403 0,-64.385357 -30.362711 0,-64.374801 -30.37859 0,-64.283718 -30.388761 0,-64.29836 -30.465791 0,-64.229003 -30.546101 0,-64.10155 -30.79989 0,-64.142502 -30.783419 0,-64.217357 -30.790248 0,-64.262015 -30.812758 0,-64.416028 -30.771506 0,-64.439471 -30.799131 0,-64.477974 -30.795474 0,-64.514382 -30.773941 0,-64.514821 -30.703033 0,-64.544228 -30.703803 0,-64.5447 -30.690607 0,-64.714701 -30.689944 0,-64.714851 -30.634132 0,-64.87529 -30.634227 0,-65.033472 -30.475059 0,-65.065265 -30.418669 0,-65.001871 -30.418516 0,-64.989395 -30.01506 0,-64.661334 -30.049569 0))",ISCHILIN,AREA: 5062777862.51844<br>PERIMETER: 363622.70326<br>DEPTO14_ID: 5<br>PROV: 14<br>DEPTO: 049,,,,,-1,-1,-1,,,5062777862.51844,363622.70326,5,14,049
"POLYGON ((-62.132419 -30.34938 0,-62.119052 -30.401154 0,-62.135648 -30.476034 0,-61.843394 -30.748023 0,-62.123012 -31.605859 0,-62.241361 -31.700516 0,-62.217622 -31.740708 0,-62.222831 -31.884446 0,-62.188437 -31.922477 0,-62.167069 -31.987169 0,-62.181927 -32.063716 0,-62.324623 -32.038982 0,-62.31627 -32.004362 0,-62.520826 -31.967241 0,-62.528958 -31.998895 0,-62.619373 -31.98329 0,-62.63563 -32.04721 0,-62.837834 -32.008355 0,-62.881045 -32.012825 0,-62.881762 -31.966106 0,-62.899865 -31.965953 0,-62.949415 -31.919725 0,-62.949582 -31.86744 0,-62.96393 -31.867453 0,-62.968616 -31.836101 0,-62.98247 -31.833589 0,-62.982919 -31.798874 0,-63.00971 -31.799976 0,-63.014717 -31.723432 0,-63.035539 -31.723428 0,-63.052725 -31.665689 0,-63.111665 -31.665275 0,-63.111357 -31.622787 0,-63.152691 -31.622962 0,-63.163775 -31.563705 0,-63.186795 -31.563674 0,-63.181261 -31.543468 0,-63.206737 -31.553095 0,-63.176852 -31.461161 0,-63.261427 -31.473026 0,-63.264025 -31.333518 0,-63.245916 -31.264816 0,-63.177584 -31.283441 0,-63.153925 -31.159465 0,-63.131243 -31.163375 0,-63.119631 -31.117219 0,-63.04031 -31.131524 0,-63.009941 -31.071885 0,-62.955167 -31.079796 0,-62.933761 -30.967461 0,-62.83405 -30.932506 0,-62.815217 -30.850703 0,-62.84227 -30.805007 0,-62.905775 -30.78579 0,-62.935346 -30.718508 0,-63.042895 -30.708114 0,-62.985848 -30.677344 0,-62.937315 -30.683516 0,-62.951639 -30.674808 0,-62.914432 -30.639805 0,-62.912341 -30.658733 0,-62.876661 -30.662021 0,-62.884612 -30.635283 0,-62.685271 -30.592664 0,-62.679787 -30.567233 0,-62.704314 -30.548807 0,-62.651423 -30.511651 0,-62.629177 -30.532577 0,-62.556539 -30.52585 0,-62.55396 -30.548038 0,-62.514314 -30.564141 0,-62.444728 -30.568582 0,-62.428588 -30.554489 0,-62.328509 -30.577151 0,-62.320204 -30.318706 0,-62.132419 -30.34938 0))",SAN JUSTO,AREA: 15664501883.38229<br>PERIMETER: 705289.52461<br>DEPTO14_ID: 6<br>PROV: 14<br>DEPTO: 140,,,,,-1,-1,-1,,,15664501883.38229,705289.52461,6,14,140
"POLYGON ((-63.845505 -30.510824 0,-63.802384 -30.51026 0,-63.795702 -30.569191 0,-63.615454 -30.571916 0,-63.60433 -30.526146 0,-63.565038 -30.534026 0,-63.59851 -30.672191 0,-63.662385 -30.667025 0,-63.728235 -30.93437 0,-63.764422 -30.927782 0,-63.76427 -30.97132 0,-63.820109 -30.971573 0,-63.820193 -31.018041 0,-63.8957 -31.018725 0,-63.887989 -30.952974 0,-63.991176 -30.918199 0,-63.990618 -30.943702 0,-64.038607 -30.959992 0,-64.179287 -30.976253 0,-64.238794 -30.954791 0,-64.282071 -30.957881 0,-64.306788 -30.933518 0,-64.344228 -30.938237 0,-64.37709 -30.908977 0,-64.438753 -30.913773 0,-64.447189 -30.833415 0,-64.428112 -30.772935 0,-64.262015 -30.812758 0,-64.217357 -30.790248 0,-64.142502 -30.783419 0,-64.10155 -30.79989 0,-64.229003 -30.546101 0,-64.298264 -30.463715 0,-64.083312 -30.465693 0,-64.005592 -30.483223 0,-63.963569 -30.414911 0,-63.847102 -30.416595 0,-63.845505 -30.510824 0))",TOTORAL,AREA: 3049262760.18658<br>PERIMETER: 374221.82851<br>DEPTO14_ID: 7<br>PROV: 14<br>DEPTO: 168,,,,,-1,-1,-1,,,3049262760.18658,374221.82851,7,14,168
"POLYGON ((-63.531437 -30.54416 0,-63.35698 -30.575861 0,-63.365042 -30.609435 0,-63.20751 -30.639009 0,-63.213639 -30.662078 0,-63.030021 -30.695348 0,-63.040427 -30.712933 0,-63.026161 -30.703344 0,-62.932417 -30.719941 0,-62.905775 -30.78579 0,-62.84227 -30.805007 0,-62.815291 -30.850465 0,-62.83405 -30.932506 0,-62.933761 -30.967461 0,-62.955167 -31.079796 0,-63.009941 -31.071885 0,-63.04031 -31.131524 0,-63.119631 -31.117219 0,-63.131243 -31.163375 0,-63.153925 -31.159465 0,-63.177584 -31.283441 0,-63.245916 -31.264816 0,-63.264025 -31.333518 0,-63.365609 -31.315061 0,-63.358429 -31.367609 0,-63.44962 -31.375354 0,-63.489523 -31.402365 0,-63.530627 -31.403284 0,-63.57222 -31.469999 0,-63.618982 -31.494092 0,-63.680767 -31.492909 0,-63.690876 -31.522256 0,-63.735254 -31.515785 0,-63.898267 -31.542972 0,-63.954347 -31.535376 0,-63.95324 -31.365742 0,-63.966712 -31.375654 0,-63.975254 -31.345611 0,-63.964759 -31.320671 0,-63.950772 -31.320824 0,-63.950884 -31.273619 0,-63.922361 -31.274126 0,-63.922479 -31.245946 0,-63.866082 -31.226061 0,-63.864403 -31.111935 0,-63.830985 -31.093424 0,-63.83949 -31.069722 0,-63.823203 -31.073393 0,-63.820405 -30.972255 0,-63.76427 -30.97132 0,-63.764422 -30.927782 0,-63.728235 -30.93437 0,-63.662385 -30.667025 0,-63.59851 -30.672191 0,-63.565038 -30.534026 0,-63.531437 -30.54416 0))",RIO PRIMERO,AREA: 6764088374.36383<br>PERIMETER: 438768.90888<br>DEPTO14_ID: 8<br>PROV: 14<br>DEPTO: 105,,,,,-1,-1,-1,,,6764088374.36383,438768.90888,8,14,105
"POLYGON ((-65.599004 -30.656808 0,-65.373476 -30.693184 0,-65.347008 -30.737846 0,-65.348174 -30.84625 0,-65.335021 -30.882484 0,-65.158122 -30.874281 0,-65.152332 -30.946821 0,-65.109405 -31.002106 0,-65.119488 -31.021174 0,-65.102976 -31.077508 0,-65.068391 -31.070214 0,-64.940247 -31.16704 0,-64.882731 -31.27694 0,-65.770625 -31.261423 0,-65.771017 -31.043427 0,-65.599004 -30.656808 0))",MINAS,AREA: 3579338929.01994<br>PERIMETER: 283727.56737<br>DEPTO14_ID: 9<br>PROV: 14<br>DEPTO: 070,,,,,-1,-1,-1,,,3579338929.01994,283727.56737,9,14,070
"POLYGON ((-64.6243 -30.690113 0,-64.514821 -30.703033 0,-64.514382 -30.773941 0,-64.436782 -30.803069 0,-64.447499 -30.853433 0,-64.429647 -30.972589 0,-64.449222 -31.060553 0,-64.414736 -31.175595 0,-64.435785 -31.327713 0,-64.427721 -31.419425 0,-64.446223 -31.434532 0,-64.448186 -31.417996 0,-64.476314 -31.418611 0,-64.497263 -31.446077 0,-64.553431 -31.568976 0,-64.546603 -31.688148 0,-64.598098 -31.709847 0,-64.59981 -31.693904 0,-64.633124 -31.694429 0,-64.639495 -31.678307 0,-64.664012 -31.692375 0,-64.693393 -31.671102 0,-64.727739 -31.676529 0,-64.772442 -31.560105 0,-64.751365 -31.516125 0,-64.783774 -31.504626 0,-64.794014 -31.439103 0,-64.792956 -31.424687 0,-64.761382 -31.422426 0,-64.749169 -31.354294 0,-64.721161 -31.289006 0,-64.700515 -31.277615 0,-64.711166 -31.261876 0,-64.696258 -31.223967 0,-64.70407 -31.178787 0,-64.677519 -31.137265 0,-64.677418 -31.071487 0,-64.642722 -31.045223 0,-64.647978 -31.010402 0,-64.687378 -31.017817 0,-64.676111 -30.971892 0,-64.699863 -30.949416 0,-64.674555 -30.943649 0,-64.674526 -30.92191 0,-64.648173 -30.922249 0,-64.644693 -30.856235 0,-64.670992 -30.828783 0,-64.619745 -30.771219 0,-64.6243 -30.690113 0))",PUNILLA,AREA: 2471087900.18257<br>PERIMETER: 330942.95529<br>DEPTO14_ID: 10<br>PROV: 14<br>DEPTO: 091,,,,,-1,-1,-1,,,2471087900.18257,330942.95529,10,14,091
